Suburb,Rooms,Price,Postcode
Glen Iris,3,1225000,3146
Glen Iris,3,,3146
Glen Iris,4,1500000,3146
Glen Iris,4,,3146
Glen Iris,4,,3146
Glen Waverley,4,1100080,3150
Glen Waverley,4,1520000,3150
Glen Waverley,7,1716000,3150
Glen Waverley,5,1100000,3150
Glen Waverley,4,1467000,3150
Glen Waverley,3,1600000,3150
Glen Waverley,4,1311000,3150
Glen Waverley,3,,3150
Glenroy,3,582000,3046
Gowanbrae,3,536000,3043
Gowanbrae,3,696000,3043
Greensborough,3,757000,3088
Greensborough,4,860000,3088
Greensborough,3,768000,3088
Greensborough,4,812000,3088
Greensborough,3,782000,3088
Greensborough,3,725000,3088
Greensborough,4,680000,3088
Greensborough,3,882000,3088
Greenvale,4,,3059
Greenvale,4,632000,3059
Hadfield,4,,3046
Hadfield,4,812000,3046
Hadfield,3,837000,3046
Hadfield,3,473000,3046
Hampton,4,,3188
Hampton,3,2288500,3188
Hampton,2,750000,3188
Hampton,3,1510000,3188
Hampton,3,1500000,3188
Hawthorn,3,855000,3122
Hawthorn,3,,3122
Hawthorn,4,,3122
Hawthorn,2,490000,3122
Hawthorn,2,620000,3122
Hawthorn,2,600000,3122
Hawthorn,3,,3122
Hawthorn,3,975000,3122
Heathmont,2,,3135
Heidelberg,2,655000,3084
Heidelberg,4,1420000,3084
Heidelberg Heights,3,786000,3081
Heidelberg Heights,2,,3081
Heidelberg Heights,3,959000,3081
Heidelberg West,3,720000,3081
Highett,4,,3190
Highett,3,1322000,3190
Highett,4,,3190
Hillside,4,612500,3037
Hillside,4,630000,3037
Hoppers Crossing,4,715000,3029
Hoppers Crossing,3,,3029
Hoppers Crossing,4,686500,3029
Hughesdale,2,1065000,3166
Hughesdale,4,1355000,3166
Huntingdale,3,1145000,3166
Ivanhoe,2,792000,3079
Ivanhoe,3,1440000,3079
Ivanhoe,4,,3079
Ivanhoe,2,660000,3079
Ivanhoe,3,1977000,3079
Ivanhoe,3,1840000,3079
Ivanhoe,4,1275000,3079
Ivanhoe East,3,1781000,3079
Jacana,3,575000,3047
Jacana,3,542000,3047
Keilor Downs,3,569000,3038
Keilor East,3,950000,3033
Keilor East,4,850000,3033
Keilor East,3,,3033
Keilor East,3,756000,3033
Keilor East,3,,3033
Keilor East,3,680000,3033
Kensington,1,360000,3031
Kensington,1,325000,3031
Kensington,4,1103000,3031
Kensington,2,901000,3031
Kensington,2,,3031
Kew,2,653000,3101
Kew,4,,3101
Kew,3,,3101
Kew,3,2000000,3101
Kew,3,,3101
Kew,4,1610000,3101
Kew,3,,3101
Kew,3,,3101
Kew,4,2315000,3101
Kew,3,1050000,3101
Kew,3,,3101
Kew,3,2155000,3101
Kew,3,830000,3101
Kew East,5,,3102
Kew East,4,1770000,3102
Keysborough,3,600000,3173
Kingsville,3,,3012
Kingsville,3,,3012
Kingsville,3,,3012
Knoxfield,4,,3180
Kurunjang,4,,3337
Lalor,3,592000,3075
Lilydale,4,,3140
MacLeod,5,,3085
MacLeod,4,1120000,3085
MacLeod,3,710000,3085
MacLeod,3,915000,3085
Maidstone,2,,3012
Malvern,1,360000,3144
Malvern,4,2400000,3144
Malvern,3,1350000,3144
Malvern,1,450000,3144
Malvern,4,,3144
Malvern East,3,,3145
Malvern East,3,2000000,3145
Malvern East,3,1150000,3145
Maribyrnong,3,813000,3032
Maribyrnong,2,330000,3032
Maribyrnong,5,1425000,3032
McKinnon,3,875000,3204
McKinnon,2,1265000,3204
McKinnon,3,1200000,3204
Meadow Heights,3,520000,3048
Melbourne,2,605000,3000
Melbourne,2,649000,3000
Melbourne,1,440000,3000
Melton,3,431000,3337
Mentone,4,1300000,3194
Mentone,1,337000,3194
Mentone,3,,3194
Mernda,4,525500,3754
Middle Park,2,800000,3206
Mill Park,3,425000,3082
Mill Park,3,595500,3082
Mill Park,3,660000,3082
Mitcham,4,,3132
Mitcham,3,1300000,3132
Montmorency,3,820000,3094
Montmorency,3,725000,3094
Moonee Ponds,2,1180000,3039
Moonee Ponds,2,910000,3039
Moonee Ponds,3,887500,3039
Moonee Ponds,3,1143000,3039
Moonee Ponds,3,,3039
Moonee Ponds,3,1117500,3039
Moonee Ponds,3,1330000,3039
Moorabbin,2,800000,3189
Moorabbin,5,1410000,3189
Moorabbin,1,457500,3189
Mooroolbark,3,778000,3138
Mordialloc,3,822000,3195
Mordialloc,3,895000,3195
Mordialloc,4,1300000,3195
Mount Waverley,2,568888,3149
Mount Waverley,5,3105000,3149
Mount Waverley,4,1500000,3149
Mount Waverley,3,1030000,3149
Mount Waverley,2,,3149
Mount Waverley,4,,3149
Mount Waverley,5,,3149
Mount Waverley,4,1275000,3149
Mount Waverley,3,1360000,3149
Mount Waverley,5,,3149
Mount Waverley,5,,3149
Mount Waverley,4,980000,3149
Mount Waverley,3,,3149
Mount Waverley,5,1601000,3149
Mount Waverley,4,1780000,3149
Mulgrave,3,630000,3170
Mulgrave,4,925000,3170
Mulgrave,3,868000,3170
Mulgrave,5,880000,3170
Mulgrave,3,920000,3170
Murrumbeena,4,1550000,3163
Murrumbeena,2,720000,3163
Murrumbeena,2,586500,3163
Narre Warren,3,551000,3805
Narre Warren,4,510000,3805
Newport,2,1032000,3015
Newport,3,1270000,3015
Noble Park,4,710000,3174
North Melbourne,6,1815000,3051
North Melbourne,1,420000,3051
Northcote,2,1200000,3070
Northcote,1,345000,3070
Northcote,3,,3070
Northcote,3,1075000,3070
Northcote,3,1332000,3070
Northcote,1,,3070
Nunawading,3,685000,3131
Nunawading,3,1185000,3131
Nunawading,3,806000,3131
Oak Park,3,857000,3046
Oak Park,4,945000,3046
Oakleigh,4,986000,3166
Oakleigh South,2,1120000,3167
Oakleigh South,3,710000,3167
Ormond,2,420000,3204
Ormond,2,490000,3204
Ormond,3,,3204
Ormond,3,1100000,3204
Pakenham,3,378000,3810
Parkdale,3,1260000,3195
Parkdale,3,1200000,3195
Parkdale,2,669000,3195
Parkville,1,668000,3052
Pascoe Vale,4,945000,3044
Pascoe Vale,2,650000,3044
Pascoe Vale,4,1510000,3044
Pascoe Vale,2,522000,3044
Pascoe Vale,3,760000,3044
Pascoe Vale,3,930000,3044
Patterson Lakes,3,645000,3197
Plenty,4,,3090
Point Cook,3,641000,3030
Point Cook,4,720000,3030
Port Melbourne,2,625000,3207
Port Melbourne,3,1400000,3207
Port Melbourne,4,2090000,3207
Port Melbourne,1,505000,3207
Port Melbourne,3,1650000,3207
Prahran,1,311000,3181
Prahran,2,1325000,3181
Prahran,3,,3181
Prahran,2,940000,3181
Preston,3,893000,3072
Preston,2,410000,3072
Preston,3,640000,3072
Preston,3,1239500,3072
Preston,2,530000,3072
Reservoir,3,610000,3073
Reservoir,2,710000,3073
Reservoir,3,,3073
Reservoir,1,357500,3073
Reservoir,2,560000,3073
Reservoir,2,390000,3073
Reservoir,4,,3073
Reservoir,3,700000,3073
Reservoir,2,846000,3073
Reservoir,3,500000,3073
Reservoir,5,1100000,3073
Reservoir,3,,3073
Reservoir,2,655000,3073
Reservoir,2,520000,3073
Reservoir,3,850000,3073
Reservoir,3,,3073
Reservoir,3,886500,3073
Richmond,2,1110000,3121
Richmond,2,906000,3121
Richmond,2,1100000,3121
Richmond,2,610000,3121
Richmond,1,550000,3121
Richmond,2,514500,3121
Richmond,3,,3121
Richmond,3,1619000,3121
Riddells Creek,3,410000,3431
Ringwood,3,,3134
Ringwood,2,,3134
Ringwood,3,739000,3134
Ringwood East,4,901000,3135
Ringwood East,3,700000,3135
Ringwood North,3,805000,3134
Rosanna,3,,3084
Rosanna,2,,3084
Rowville,3,,3178
Rowville,4,,3178
Rowville,4,868200,3178
Roxburgh Park,3,,3064
Roxburgh Park,4,462000,3064
Roxburgh Park,4,448000,3064
Roxburgh Park,3,393500,3064
Roxburgh Park,3,,3064
Sandringham,4,,3191
Sandringham,3,1450000,3191
Sandringham,3,,3191
Scoresby,3,821000,3179
Seaford,4,701000,3198
Seddon,3,865500,3011
Seddon,2,362000,3011
South Melbourne,2,,3205
South Melbourne,2,651000,3205
South Morang,4,711000,3752
South Morang,4,560000,3752
South Morang,3,387000,3752
South Morang,4,,3752
South Morang,5,920000,3752
South Morang,4,706000,3752
South Yarra,5,5000000,3141
South Yarra,1,480000,3141
South Yarra,2,495000,3141
South Yarra,4,,3141
South Yarra,2,705000,3141
South Yarra,1,392000,3141
Southbank,2,630000,3006
Spotswood,3,667500,3015
Springvale,3,860000,3171
St Albans,4,860000,3021
St Albans,3,610000,3021
St Albans,3,605000,3021
St Albans,3,645000,3021
St Albans,3,,3021
St Albans,1,1100000,3021
St Kilda,3,640000,3182
St Kilda,1,,3182
St Kilda,2,501500,3182
Strathmore,3,890000,3041
Strathmore,4,1301000,3041
Strathmore Heights,3,900000,3041
Sunshine,3,890000,3020
Sunshine,3,,3020
Sunshine,2,430000,3020
Sunshine,3,1200000,3020
Sunshine,3,612000,3020
Sunshine North,3,732000,3020
Sunshine North,4,861800,3020
Sunshine West,4,630000,3020
Sunshine West,3,,3020
Surrey Hills,2,,3127
Surrey Hills,5,3250000,3127
Surrey Hills,4,,3127
Surrey Hills,4,1600000,3127
Surrey Hills,2,,3127
Surrey Hills,3,,3127
Sydenham,5,593000,3037
Sydenham,4,547000,3037
Taylors Lakes,3,,3038
Taylors Lakes,4,645500,3038
Templestowe,5,1952000,3106
Templestowe,3,1175000,3106
Templestowe,4,1750000,3106
Templestowe,4,1380000,3106
Templestowe,3,965000,3106
Templestowe Lower,4,1051888,3107
Templestowe Lower,5,1310000,3107
Templestowe Lower,4,1150000,3107
Templestowe Lower,4,1255000,3107
Templestowe Lower,5,1351000,3107
Templestowe Lower,3,1161500,3107
Thomastown,3,580000,3074
Thomastown,3,745000,3074
Thomastown,3,576000,3074
Thomastown,3,517000,3074
Thomastown,3,525000,3074
Thornbury,2,,3071
Thornbury,2,1260000,3071
Thornbury,3,,3071
Thornbury,4,1651118,3071
Toorak,1,,3142
Toorak,2,580000,3142
Toorak,2,1850000,3142
Toorak,3,,3142
Toorak,3,855000,3142
Toorak,3,1600000,3142
Truganina,3,,3029
Tullamarine,4,695000,3043
Tullamarine,3,560000,3043
Tullamarine,2,,3043
Vermont South,4,1120000,3133
Vermont South,4,,3133
Wantirna,5,,3152
Wantirna South,4,921000,3152
Wantirna South,3,,3152
Wantirna South,5,1390000,3152
Warrandyte,4,,3113
Warrandyte,3,730000,3113
Werribee,2,700000,3030
Werribee,3,452000,3030
Werribee,3,,3030
Werribee,3,430000,3030
West Footscray,3,720000,3012
West Footscray,3,975000,3012
West Footscray,2,930000,3012
West Melbourne,1,315000,3003
Westmeadows,2,470000,3049
Westmeadows,3,,3049
Wheelers Hill,4,,3150
Wheelers Hill,4,1185000,3150
Wheelers Hill,3,,3150
Wheelers Hill,4,1050000,3150
Wheelers Hill,3,1131000,3150
Williamstown,5,1700000,3016
Williamstown,3,1520000,3016
Williamstown,3,1621000,3016
Windsor,2,1670000,3181
Windsor,2,652000,3181
Wollert,4,660000,3750
Wollert,4,567500,3750
Wollert,3,472500,3750
Wyndham Vale,5,,3024
Wyndham Vale,3,380000,3024
Yarraville,2,,3013
Yarraville,3,1381000,3013
Yarraville,3,,3013
Yarraville,2,607500,3013
Yarraville,3,1120000,3013
Yarraville,2,802000,3013
Yarraville,6,1550000,3013
Abbotsford,3,1350000,3067
Airport West,3,858000,3042
Airport West,2,593000,3042
Airport West,3,640000,3042
Airport West,3,961000,3042
Albert Park,2,1535000,3206
Albion,3,570000,3020
Alphington,4,2345000,3078
Alphington,4,,3078
Altona Meadows,3,,3028
Altona North,3,900000,3025
Altona North,3,,3025
Altona North,2,650000,3025
Ardeer,2,480000,3022
Armadale,5,5200000,3143
Ascot Vale,3,950000,3032
Ascot Vale,4,,3032
Ashwood,3,1225000,3147
Attwood,5,1025000,3049
Avondale Heights,3,622000,3034
Avondale Heights,3,825000,3034
Balwyn,4,1475000,3103
Balwyn,5,3050000,3103
Balwyn North,4,,3104
Balwyn North,5,2160000,3104
Balwyn North,3,1050000,3104
Balwyn North,6,,3104
Balwyn North,3,1275000,3104
Bayswater,3,640000,3153
Bayswater North,3,500000,3153
Bayswater North,4,825000,3153
Beaumaris,1,,3193
Beaumaris,2,800000,3193
Beaumaris,4,1221000,3193
Beaumaris,4,1800000,3193
Beaumaris,5,,3193
Beaumaris,4,1823000,3193
Beaumaris,6,2000000,3193
Bentleigh,3,1365000,3204
Bentleigh,3,1045000,3204
Bentleigh East,5,1220000,3165
Berwick,4,627500,3806
Blackburn,3,1095000,3130
Blackburn,4,,3130
Blackburn South,3,1020000,3130
Blackburn South,3,,3130
Boronia,3,642000,3155
Briar Hill,3,840000,3088
Brighton,3,2650000,3186
Brighton,1,380000,3186
Brighton,5,3250000,3186
Brighton East,4,1731000,3187
Broadmeadows,3,465000,3047
Broadmeadows,3,518500,3047
Brooklyn,3,665000,3012
Brunswick,2,692000,3056
Brunswick East,2,1305000,3057
Brunswick West,3,,3055
Brunswick West,3,1100000,3055
Brunswick West,2,573000,3055
Bulleen,3,1060000,3105
Bundoora,4,,3083
Bundoora,3,805000,3083
Bundoora,3,682000,3083
Bundoora,3,510000,3083
Burnside Heights,3,535000,3023
Burwood East,4,1088000,3151
Burwood East,3,1180000,3151
Cairnlea,3,630000,3023
Camberwell,2,677000,3124
Camberwell,3,,3124
Camberwell,2,670000,3124
Camberwell,3,1320000,3124
Canterbury,2,816000,3126
Carlton,1,350000,3053
Carlton,2,620000,3053
Carlton,3,1760000,3053
Carnegie,1,300000,3163
Caroline Springs,3,545000,3023
Caulfield South,4,1800000,3162
Caulfield South,2,1091500,3162
Chadstone,3,,3148
Cheltenham,5,1140000,3192
Cheltenham,3,950000,3192
Cheltenham,2,1171000,3192
Cheltenham,2,425000,3192
Cheltenham,3,1116000,3192
Clarinda,3,,3169
Clayton,3,,3168
Clayton,4,,3168
Clifton Hill,3,1030000,3068
Clyde North,4,689000,3978
Coburg,2,900000,3058
Coburg,2,620000,3058
Coburg,4,922000,3058
Coburg,3,,3058
Coburg,3,1077000,3058
Coburg North,4,800000,3058
Coburg North,3,805000,3058
Craigieburn,4,665000,3064
Craigieburn,4,607000,3064
Craigieburn,3,515500,3064
Craigieburn,4,509500,3064
Craigieburn,3,660000,3064
Cranbourne,5,572000,3977
Croydon,4,932000,3136
Croydon,2,566100,3136
Croydon,2,570000,3136
Croydon,4,875000,3136
Croydon Hills,3,,3136
Croydon North,4,810000,3136
Dandenong,3,585000,3175
Dandenong,2,348000,3175
Dandenong North,3,627000,3175
Dandenong North,3,760000,3175
Diamond Creek,2,621000,3089
Dingley Village,2,612000,3172
Doncaster,3,840000,3108
Doncaster,3,945000,3108
Doncaster East,6,1856000,3109
Donvale,7,2705000,3111
Donvale,3,818000,3111
Donvale,3,852000,3111
Doreen,3,530500,3754
Eaglemont,4,,3084
East Melbourne,2,,3002
Edithvale,3,1092000,3196
Eltham,3,975000,3095
Eltham,3,805000,3095
Eltham North,4,770000,3095
Eltham North,2,,3095
Elwood,2,,3184
Elwood,2,,3184
Elwood,1,425000,3184
Elwood,2,,3184
Emerald,3,,3782
Epping,3,,3076
Epping,4,940000,3076
Epping,2,437000,3076
Epping,5,660000,3076
Essendon,3,1325000,3040
Essendon,1,310000,3040
Essendon,3,864000,3040
Essendon,1,291000,3040
Essendon West,3,750000,3040
Essendon West,4,,3040
Essendon West,5,2200000,3040
Eumemmerring,3,515000,3177
Eumemmerring,3,580000,3177
Fairfield,3,1550000,3078
Fawkner,2,672000,3060
Fawkner,3,720000,3060
Ferntree Gully,2,414000,3156
Fitzroy North,2,1350000,3068
Fitzroy North,3,1852000,3068
Fitzroy North,2,1100000,3068
Footscray,2,,3011
Footscray,3,815000,3011
Footscray,1,170000,3011
Forest Hill,4,1372000,3131
Forest Hill,3,850500,3131
Frankston,2,400000,3199
Frankston,3,640000,3199
Frankston,3,,3199
Frankston North,3,611000,3200
Frankston South,3,,3199
Frankston South,3,755000,3199
Gisborne,4,521000,3437
Gladstone Park,3,625000,3043
Gladstone Park,3,650000,3043
Glen Iris,4,1910000,3146
Glen Iris,3,1900000,3146
Glen Iris,2,500000,3146
Glen Iris,2,523000,3146
Glen Waverley,4,,3150
Glen Waverley,4,1250000,3150
Glen Waverley,3,,3150
Glen Waverley,3,,3150
Glenroy,2,460000,3046
Glenroy,3,600000,3046
Glenroy,3,595000,3046
Glenroy,3,,3046
Glenroy,3,525000,3046
Glenroy,3,847000,3046
Greensborough,6,990000,3088
Greensborough,3,645000,3088
Greensborough,3,880000,3088
Greensborough,2,695000,3088
Greenvale,3,630000,3059
Greenvale,5,,3059
Hadfield,2,500000,3046
Hallam,3,662500,3803
Hampton,3,1210000,3188
Hampton,3,1910000,3188
Hampton,3,,3188
Hampton East,3,1140000,3188
Hampton East,3,,3188
Hawthorn,2,,3122
Hawthorn,1,395000,3122
Hawthorn,3,1000000,3122
Hawthorn,2,450000,3122
Hawthorn,4,2900000,3122
Hawthorn,2,820000,3122
Hawthorn,2,450000,3122
Healesville,3,650000,3777
Heathmont,3,,3135
Heathmont,5,,3135
Heathmont,4,,3135
Heathmont,4,,3135
Heidelberg,3,,3084
Heidelberg Heights,3,790000,3081
Heidelberg Heights,2,780000,3081
Heidelberg West,3,726500,3081
Heidelberg West,3,710000,3081
Highett,2,,3190
Highett,2,,3190
Highett,2,645000,3190
Hillside,5,650500,3037
Hoppers Crossing,3,471000,3029
Hoppers Crossing,3,683000,3029
Hoppers Crossing,3,440000,3029
Hoppers Crossing,4,,3029
Huntingdale,3,750000,3166
Ivanhoe,4,,3079
Ivanhoe East,4,,3079
Jacana,4,650000,3047
Jacana,2,390000,3047
Keilor Downs,3,506000,3038
Keilor Downs,3,810000,3038
Keilor Downs,3,735000,3038
Keilor Downs,3,595000,3038
Keilor Downs,3,605000,3038
Keilor East,2,520000,3033
Keilor Lodge,4,640000,3038
Kensington,3,967000,3031
Kensington,2,850000,3031
Kensington,1,500000,3031
Kensington,2,535000,3031
Kew,2,758000,3101
Kew,3,,3101
Kew,3,975000,3101
Kew East,2,862000,3102
Keysborough,4,965000,3173
Keysborough,4,761000,3173
Kings Park,3,520000,3021
Kings Park,3,530000,3021
Kingsbury,2,,3083
Kingsville,3,1020000,3012
Kingsville,1,210000,3012
Lalor,4,750000,3075
Lalor,3,635000,3075
Lalor,2,410000,3075
Lalor,5,675000,3075
Lower Plenty,5,880000,3093
Lynbrook,3,597500,3975
MacLeod,3,640000,3085
Maidstone,1,280000,3012
Maidstone,2,520000,3012
Maidstone,3,895000,3012
Maidstone,3,660000,3012
Malvern East,3,,3145
Malvern East,3,2110000,3145
Malvern East,4,,3145
Maribyrnong,3,1050000,3032
Maribyrnong,2,,3032
Maribyrnong,2,,3032
Melton,4,320000,3337
Melton,3,480000,3337
Melton South,3,365000,3338
Melton West,3,,3337
Mentone,2,705000,3194
Mernda,4,670000,3754
Mernda,4,,3754
Mernda,4,520500,3754
Mickleham,4,,3064
Mill Park,2,460000,3082
Mill Park,3,610000,3082
Mitcham,3,950000,3132
Mitcham,3,715000,3132
Mitcham,3,970000,3132
Mont Albert,5,2200000,3127
Mont Albert,4,2320000,3127
Mont Albert,4,2752000,3127
Montmorency,3,655000,3094
Montmorency,3,960000,3094
Montrose,3,,3765
Moonee Ponds,4,1810000,3039
Moonee Ponds,2,1020000,3039
Moonee Ponds,2,1250000,3039
Moorabbin,3,1175000,3189
Mordialloc,4,800000,3195
Mordialloc,4,1225000,3195
Mount Waverley,6,1200000,3149
Mount Waverley,5,,3149
Mount Waverley,3,1205000,3149
Mount Waverley,4,1720000,3149
Mount Waverley,5,1600000,3149
Mount Waverley,3,944000,3149
Mount Waverley,3,1385000,3149
Mount Waverley,3,1280000,3149
Mount Waverley,3,2000000,3149
Mulgrave,5,,3170
Narre Warren,3,650000,3805
Narre Warren,3,655000,3805
Narre Warren,3,580000,3805
Newport,2,710000,3015
Newport,2,335000,3015
Newport,3,1330000,3015
Noble Park,2,466500,3174
Noble Park,4,,3174
North Melbourne,2,550000,3051
North Melbourne,2,962000,3051
